TOTAL ELEMENTS: 
2048
BST delete total time: series 1, i: 4, time: 0.14116597175598145}, IS_SORTED: false
BST delete avg time: series 1, i: 4, time: 0.00015545803308486937}, IS_SORTED: false
AVL delete total time: series 1, i: 5, time: 0.281000018119812}, IS_SORTED: false 
AVL delete avg time: series 1, i: 5, time: 0.00015500003099441529}, IS_SORTED: false
BST delete total time: series 1, i: 5, time: 0.13854098320007324}, IS_SORTED: false
BST delete avg time: series 1, i: 5, time: 0.00015349996089935304}, IS_SORTED: false
AVL delete total time: series 1, i: 6, time: 1.4163749814033508}, IS_SORTED: false 
AVL delete avg time: series 1, i: 6, time: 0.00015787500143051147}, IS_SORTED: false
BST delete total time: series 1, i: 6, time: 1.8273749947547913}, IS_SORTED: false
BST delete avg time: series 1, i: 6, time: 0.0005020000338554383}, IS_SORTED: false
AVL delete total time: series 1, i: 7, time: 0.7920829653739929}, IS_SORTED: false 
AVL delete avg time: series 1, i: 7, time: 0.00021391701698303221}, IS_SORTED: false
BST delete total time: series 1, i: 7, time: 0.34495896100997925}, IS_SORTED: false
BST delete avg time: series 1, i: 7, time: 0.00018904197216033935}, IS_SORTED: false
AVL delete total time: series 1, i: 8, time: 0.23708301782608032}, IS_SORTED: false 
AVL delete avg time: series 1, i: 8, time: 0.00013874995708465577}, IS_SORTED: false
BST delete total time: series 1, i: 8, time: 0.36833298206329346}, IS_SORTED: false
BST delete avg time: series 1, i: 8, time: 0.00015358400344848633}, IS_SORTED: false
AVL delete total time: series 1, i: 9, time: 0.7994579672813416}, IS_SORTED: false 
AVL delete avg time: series 1, i: 9, time: 0.00022904199361801147}, IS_SORTED: false
BST delete total time: series 1, i: 9, time: 0.34708303213119507}, IS_SORTED: false
BST delete avg time: series 1, i: 9, time: 0.00019787496328353883}, IS_SORTED: false
AVL delete total time: series 1, i: 10, time: 0.17250001430511475}, IS_SORTED: true 
AVL delete avg time: series 1, i: 10, time: 0.00015729200839996338}, IS_SORTED: true
BST delete total time: series 1, i: 10, time: 0.07491600513458252}, IS_SORTED: true
BST delete avg time: series 1, i: 10, time: 0.004708999991416931}, IS_SORTED: true
AVL delete total time: series 1, i: 11, time: 0.17937499284744263}, IS_SORTED: true 
AVL delete avg time: series 1, i: 11, time: 0.00015641701221466066}, IS_SORTED: true
BST delete total time: series 1, i: 11, time: 0.07395797967910767}, IS_SORTED: true
BST delete avg time: series 1, i: 11, time: 0.004619834005832672}, IS_SORTED: true
AVL delete total time: series 1, i: 12, time: 0.17124998569488525}, IS_SORTED: true 
AVL delete avg time: series 1, i: 12, time: 0.00015933305025100708}, IS_SORTED: true
BST delete total time: series 1, i: 12, time: 0.0749579668045044}, IS_SORTED: true
BST delete avg time: series 1, i: 12, time: 0.004583750009536743}, IS_SORTED: true
AVL delete total time: series 1, i: 13, time: 0.17566698789596558}, IS_SORTED: true 
AVL delete avg time: series 1, i: 13, time: 0.00016029196977615357}, IS_SORTED: true
BST delete total time: series 1, i: 13, time: 0.07708299160003662}, IS_SORTED: true
BST delete avg time: series 1, i: 13, time: 0.004545750021934509}, IS_SORTED: true
AVL delete total time: series 1, i: 14, time: 0.17054098844528198}, IS_SORTED: true 
AVL delete avg time: series 1, i: 14, time: 0.00016866600513458253}, IS_SORTED: true
BST delete total time: series 1, i: 14, time: 0.07375001907348633}, IS_SORTED: true
BST delete avg time: series 1, i: 14, time: 0.0046297919750213625}, IS_SORTED: true
AVL delete total time: series 1, i: 15, time: 0.16979199647903442}, IS_SORTED: true 
AVL delete avg time: series 1, i: 15, time: 0.00015724998712539673}, IS_SORTED: true
BST delete total time: series 1, i: 15, time: 0.07304102182388306}, IS_SORTED: true
