Avl delete 1000 elements time: 0.16408300399780273 on militplier: 10, i: 19
Cart find 1000 elements time: 0.16541600227355957 on militplier: 10, i: 19
Avl find 1000 elements time: 0.002624988555908203 on militplier: 10, i: 19
Cart insert 1000 elements time: 0.5867080092430115 on militplier: 10, i: 20
Avl insert 1000 elements time: 0.21875 on militplier: 10, i: 20
Cart delete 1000 elements time: 0.13795799016952515 on militplier: 10, i: 20
Avl delete 1000 elements time: 0.1576250195503235 on militplier: 10, i: 20
Cart find 1000 elements time: 0.14704203605651855 on militplier: 10, i: 20
Avl find 1000 elements time: 0.0027089715003967285 on militplier: 10, i: 20
Cart insert 1000 elements time: 0.21570897102355957 on militplier: 10, i: 21
Avl insert 1000 elements time: 0.24641698598861694 on militplier: 10, i: 21
Cart delete 1000 elements time: 0.13416695594787598 on militplier: 10, i: 21
Avl delete 1000 elements time: 0.15812504291534424 on militplier: 10, i: 21
Cart find 1000 elements time: 0.1504170298576355 on militplier: 10, i: 21
Avl find 1000 elements time: 0.002665996551513672 on militplier: 10, i: 21
Cart insert 1000 elements time: 0.26987504959106445 on militplier: 10, i: 22
Avl insert 1000 elements time: 0.2489590048789978 on militplier: 10, i: 22
Cart delete 1000 elements time: 0.14904099702835083 on militplier: 10, i: 22
Avl delete 1000 elements time: 0.16350001096725464 on militplier: 10, i: 22
Cart find 1000 elements time: 0.17949998378753662 on militplier: 10, i: 22
Avl find 1000 elements time: 0.0028339624404907227 on militplier: 10, i: 22
Cart insert 1000 elements time: 0.3494579792022705 on militplier: 10, i: 23
Avl insert 1000 elements time: 0.25095802545547485 on militplier: 10, i: 23
Cart delete 1000 elements time: 0.14520800113677979 on militplier: 10, i: 23
Avl delete 1000 elements time: 0.17008304595947266 on militplier: 10, i: 23
Cart find 1000 elements time: 0.17524999380111694 on militplier: 10, i: 23
Avl find 1000 elements time: 0.002790987491607666 on militplier: 10, i: 23
Cart insert 1000 elements time: 0.24033302068710327 on militplier: 10, i: 24
Avl insert 1000 elements time: 0.22562503814697266 on militplier: 10, i: 24
Cart delete 1000 elements time: 0.13700002431869507 on militplier: 10, i: 24
Avl delete 1000 elements time: 0.1702919602394104 on militplier: 10, i: 24
Cart find 1000 elements time: 0.1527499556541443 on militplier: 10, i: 24
Avl find 1000 elements time: 0.0027080178260803223 on militplier: 10, i: 24
Cart insert 1000 elements time: 0.22591698169708252 on militplier: 10, i: 25
Avl insert 1000 elements time: 0.23216700553894043 on militplier: 10, i: 25
Cart delete 1000 elements time: 0.13908404111862183 on militplier: 10, i: 25
Avl delete 1000 elements time: 0.1893329620361328 on militplier: 10, i: 25
Cart find 1000 elements time: 0.14808398485183716 on militplier: 10, i: 25
Avl find 1000 elements time: 0.002834022045135498 on militplier: 10, i: 25
Cart insert 1000 elements time: 0.2586659789085388 on militplier: 10, i: 26
Avl insert 1000 elements time: 0.22862499952316284 on militplier: 10, i: 26
Cart delete 1000 elements time: 0.1344580054283142 on militplier: 10, i: 26
Avl delete 1000 elements time: 0.24541699886322021 on militplier: 10, i: 26
Cart find 1000 elements time: 0.14841699600219727 on militplier: 10, i: 26
Avl find 1000 elements time: 0.002665996551513672 on militplier: 10, i: 26
Cart insert 1000 elements time: 0.2524999976158142 on militplier: 10, i: 27
Avl insert 1000 elements time: 0.5412499904632568 on militplier: 10, i: 27
Cart delete 1000 elements time: 0.13050001859664917 on militplier: 10, i: 27
Avl delete 1000 elements time: 0.14500004053115845 on militplier: 10, i: 27
Cart find 1000 elements time: 0.14308303594589233 on militplier: 10, i: 27
Avl find 1000 elements time: 0.0027499794960021973 on militplier: 10, i: 27
Cart insert 1000 elements time: 0.22812503576278687 on militplier: 10, i: 28
Avl insert 1000 elements time: 0.23216700553894043 on militplier: 10, i: 28
Cart delete 1000 elements time: 0.18095797300338745 on militplier: 10, i: 28
Avl delete 1000 elements time: 0.15799999237060547 on militplier: 10, i: 28
Cart find 1000 elements time: 0.15666598081588745 on militplier: 10, i: 28
Avl find 1000 elements time: 0.0027920007705688477 on militplier: 10, i: 28
Cart insert 1000 elements time: 0.27708297967910767 on militplier: 10, i: 29
Avl insert 1000 elements time: 0.25612497329711914 on militplier: 10, i: 29
Cart delete 1000 elements time: 0.14912503957748413 on militplier: 10, i: 29
Avl delete 1000 elements time: 0.15450000762939453 on militplier: 10, i: 29
Cart find 1000 elements time: 0.16312497854232788 on militplier: 10, i: 29
Avl find 1000 elements time: 0.0027500391006469727 on militplier: 10, i: 29
Cart insert 1000 elements time: 0.2779170274734497 on militplier: 10, i: 30
Avl insert 1000 elements time: 0.23987501859664917 on militplier: 10, i: 30
Cart delete 1000 elements time: 0.1355830430984497 on militplier: 10, i: 30
Avl delete 1000 elements time: 0.14945799112319946 on militplier: 10, i: 30
Cart find 1000 elements time: 0.30470794439315796 on militplier: 10, i: 30
Avl find 1000 elements time: 0.006624996662139893 on militplier: 10, i: 30
Cart insert 1000 elements time: 0.23316597938537598 on militplier: 10, i: 31
Avl insert 1000 elements time: 0.23341602087020874 on militplier: 10, i: 31
Cart delete 1000 elements time: 0.5387910008430481 on militplier: 10, i: 31
Avl delete 1000 elements time: 0.13466697931289673 on militplier: 10, i: 31
Cart find 1000 elements time: 0.1457499861717224 on militplier: 10, i: 31
Avl find 1000 elements time: 0.002709031105041504 on militplier: 10, i: 31
Cart insert 1000 elements time: 0.23725003004074097 on militplier: 10, i: 32
Avl insert 1000 elements time: 0.22608298063278198 on militplier: 10, i: 32
Cart delete 1000 elements time: 0.10654199123382568 on militplier: 10, i: 32
Avl delete 1000 elements time: 0.13075000047683716 on militplier: 10, i: 32
Cart find 1000 elements time: 0.14970898628234863 on militplier: 10, i: 32
Avl find 1000 elements time: 0.0027499794960021973 on militplier: 10, i: 32
Cart insert 1000 elements time: 0.24274998903274536 on militplier: 10, i: 33
Avl insert 1000 elements time: 0.23337501287460327 on militplier: 10, i: 33
Cart delete 1000 elements time: 0.5709159970283508 on militplier: 10, i: 33
Avl delete 1000 elements time: 0.13616597652435303 on militplier: 10, i: 33
Cart find 1000 elements time: 0.16037499904632568 on militplier: 10, i: 33
Avl find 1000 elements time: 0.0027499794960021973 on militplier: 10, i: 33
Cart insert 1000 elements time: 0.2695409655570984 on militplier: 10, i: 34
Avl insert 1000 elements time: 0.23925000429153442 on militplier: 10, i: 34
Cart delete 1000 elements time: 0.5952499508857727 on militplier: 10, i: 34
Avl delete 1000 elements time: 0.13262498378753662 on militplier: 10, i: 34
Cart find 1000 elements time: 0.13387495279312134 on militplier: 10, i: 34
Avl find 1000 elements time: 0.002709031105041504 on militplier: 10, i: 34
Cart insert 1000 elements time: 0.25133299827575684 on militplier: 10, i: 35
Avl insert 1000 elements time: 0.3647500276565552 on militplier: 10, i: 35
Cart delete 1000 elements time: 0.5999170541763306 on militplier: 10, i: 35
Avl delete 1000 elements time: 0.154291033744812 on militplier: 10, i: 35
Cart find 1000 elements time: 0.15437501668930054 on militplier: 10, i: 35
Avl find 1000 elements time: 0.002832949161529541 on militplier: 10, i: 35
Cart insert 1000 elements time: 0.23908299207687378 on militplier: 10, i: 36
Avl insert 1000 elements time: 0.2301669716835022 on militplier: 10, i: 36
Cart delete 1000 elements time: 0.10679203271865845 on militplier: 10, i: 36
Avl delete 1000 elements time: 0.1489580273628235 on militplier: 10, i: 36
Cart find 1000 elements time: 0.14829105138778687 on militplier: 10, i: 36
Avl find 1000 elements time: 0.0028330087661743164 on militplier: 10, i: 36
Cart insert 1000 elements time: 0.23475003242492676 on militplier: 10, i: 37
Avl insert 1000 elements time: 0.2238749861717224 on militplier: 10, i: 37
Cart delete 1000 elements time: 0.10212498903274536 on militplier: 10, i: 37
Avl delete 1000 elements time: 0.12941598892211914 on militplier: 10, i: 37
Cart find 1000 elements time: 0.14875000715255737 on militplier: 10, i: 37
Avl find 1000 elements time: 0.0027499794960021973 on militplier: 10, i: 37
Cart insert 1000 elements time: 0.2586250305175781 on militplier: 10, i: 38
Avl insert 1000 elements time: 0.2325420379638672 on militplier: 10, i: 38
Cart delete 1000 elements time: 0.1409590244293213 on militplier: 10, i: 38
Avl delete 1000 elements time: 0.27445799112319946 on militplier: 10, i: 38
Cart find 1000 elements time: 0.16445904970169067 on militplier: 10, i: 38
Avl find 1000 elements time: 0.0028749704360961914 on militplier: 10, i: 38
Cart insert 1000 elements time: 0.23170799016952515 on militplier: 10, i: 39
Avl insert 1000 elements time: 0.2661669850349426 on militplier: 10, i: 39
Cart delete 1000 elements time: 0.13604199886322021 on militplier: 10, i: 39
Avl delete 1000 elements time: 0.13920903205871582 on militplier: 10, i: 39
Cart find 1000 elements time: 0.15741705894470215 on militplier: 10, i: 39
Avl find 1000 elements time: 0.0027080178260803223 on militplier: 10, i: 39
Cart insert 1000 elements time: 0.5411660075187683 on militplier: 10, i: 40
Avl insert 1000 elements time: 0.2432500123977661 on militplier: 10, i: 40
Cart delete 1000 elements time: 0.12449997663497925 on militplier: 10, i: 40
Avl delete 1000 elements time: 0.1370829939842224 on militplier: 10, i: 40
Cart find 1000 elements time: 0.15775001049041748 on militplier: 10, i: 40
Avl find 1000 elements time: 0.0028330087661743164 on militplier: 10, i: 40
Cart insert 1000 elements time: 0.25008296966552734 on militplier: 10, i: 41
Avl insert 1000 elements time: 0.6707499623298645 on militplier: 10, i: 41
Cart delete 1000 elements time: 0.10558295249938965 on militplier: 10, i: 41
Avl delete 1000 elements time: 0.12950003147125244 on militplier: 10, i: 41
Cart find 1000 elements time: 0.14612501859664917 on militplier: 10, i: 41
Avl find 1000 elements time: 0.0028749704360961914 on militplier: 10, i: 41
Cart insert 1000 elements time: 0.2597920298576355 on militplier: 10, i: 42
Avl insert 1000 elements time: 0.2294580340385437 on militplier: 10, i: 42
Cart delete 1000 elements time: 0.11779099702835083 on militplier: 10, i: 42
Avl delete 1000 elements time: 0.12950003147125244 on militplier: 10, i: 42
Cart find 1000 elements time: 0.16083300113677979 on militplier: 10, i: 42
Avl find 1000 elements time: 0.0028330087661743164 on militplier: 10, i: 42
Cart insert 1000 elements time: 0.24387502670288086 on militplier: 10, i: 43
Avl insert 1000 elements time: 0.2354159951210022 on militplier: 10, i: 43
Cart delete 1000 elements time: 0.11295902729034424 on militplier: 10, i: 43
Avl delete 1000 elements time: 0.13349997997283936 on militplier: 10, i: 43
Cart find 1000 elements time: 0.1545419692993164 on militplier: 10, i: 43
Avl find 1000 elements time: 0.002707958221435547 on militplier: 10, i: 43
Cart insert 1000 elements time: 0.2303749918937683 on militplier: 10, i: 44
Avl insert 1000 elements time: 0.23087501525878906 on militplier: 10, i: 44
Cart delete 1000 elements time: 0.10329198837280273 on militplier: 10, i: 44
Avl delete 1000 elements time: 0.1316249966621399 on militplier: 10, i: 44
Cart find 1000 elements time: 0.14758402109146118 on militplier: 10, i: 44
Avl find 1000 elements time: 0.0027499794960021973 on militplier: 10, i: 44
Cart insert 1000 elements time: 0.2304999828338623 on militplier: 10, i: 45
Avl insert 1000 elements time: 0.234499990940094 on militplier: 10, i: 45
Cart delete 1000 elements time: 0.11187499761581421 on militplier: 10, i: 45
Avl delete 1000 elements time: 0.13837498426437378 on militplier: 10, i: 45
Cart find 1000 elements time: 0.1582919955253601 on militplier: 10, i: 45
Avl find 1000 elements time: 0.0027080178260803223 on militplier: 10, i: 45
Cart insert 1000 elements time: 0.24995803833007812 on militplier: 10, i: 46
Avl insert 1000 elements time: 0.27291595935821533 on militplier: 10, i: 46
Cart delete 1000 elements time: 0.12000000476837158 on militplier: 10, i: 46
